name,desc,type, bw ,mw,pl,ms,md,water,,,,,,,,,,,,,,,,,
T10-2S, SFL (step0) ,As-Built,0.00,0.25,0.14,0.46,0.00,2.92,,,,,,,,,,,,,,,,,
T30-3,SFP,As-Built,0.00,0.38,0.08,0.47,0.00,3.02,,,,,,,,,,,,,,,,,
T30-1, T30-1 as-built ,As-Built,0.54,0.30,0.20,0.53,0.41,3.07,,,,,,,,,,,,,,,,,
T18N,SFP,As-Built,0.00,0.41,0.05,0.48,0.00,3.08,,,,,,,,,,,,,,,,,
T24,SFL,As-Built,0.00,0.17,0.45,0.54,0.00,3.09,,,,,,,,,,,,,,,,,
T30-2,SFP,As-Built,0.00,0.67,0.08,0.39,0.00,3.15,,,,,,,,,,,,,,,,,
T17-1, DWM_JanApr ,As-Built,0.00,0.52,0.25,0.54,0.00,3.17,,,,,,,,,,,,,,,,,
T29-1,SFP (step0),As-Built,0.00,0.59,0.07,0.30,0.00,3.26,,,,,,,,,,,,,,,,,
T21E, DWM_OctApr ,As-Built,0.00,0.64,0.08,0.52,0.00,3.27,,,,,,,,,,,,,,,,,
T23SW_b,SFL,As-Built,0.00,0.32,0.26,0.53,0.00,3.27,,,,,,,,,,,,,,,,,
T2-1b,Veg 11,As-Built,0.23,0.05,0.03,0.22,0.57,3.27,,,,,,,,,,,,,,,,,
 T2-1c ,Veg 11,As-Built,0.28,0.07,0.07,0.27,0.56,3.27,,,,,,,,,,,,,,,,,
T23NW_a,SFL,As-Built,0.00,0.06,0.10,0.34,0.00,3.27,,,,,,,,,,,,,,,,,
T23NW_b,SFL,As-Built,0.00,0.06,0.10,0.34,0.00,3.27,,,,,,,,,,,,,,,,,
T23SE,SFL,As-Built,0.00,0.21,0.37,0.52,0.00,3.27,,,,,,,,,,,,,,,,,
T23SW_a,SFL,As-Built,0.00,0.32,0.26,0.53,0.00,3.27,,,,,,,,,,,,,,,,,
T2-1_a, DWM_OctApr ,As-Built,0.00,0.42,0.17,0.55,0.00,3.28,,,,,,,,,,,,,,,,,
T29-2,SFP (step0),As-Built,0.00,0.60,0.22,0.53,0.02,3.41,,,,,,,,,,,,,,,,,
T17-2, DWM_OctApr ,As-Built,0.00,0.47,0.25,0.42,0.00,3.58,,,,,,,,,,,,,,,,,
T2-1 Addition_b,SFL,As-Built,0.00,0.25,0.33,0.57,0.01,3.59,,,,,,,,,,,,,,,,,
T32-1_a,T32-1 as-built,As-Built,0.12,0.15,0.13,0.39,0.20,3.60,,,,,,,,,,,,,,,,,
T36-1W,T36-1W as-built,As-Built,0.37,0.36,0.14,0.29,0.24,3.81,,,,,,,,,,,,,,,,,
T36-1E,T36-1E as-built,As-Built,0.41,0.47,0.14,0.54,0.24,3.86,,,,,,,,,,,,,,,,,
T13-1,SFL (step0),As-Built,0.00,0.49,0.33,0.49,0.01,3.95,,,,,,,,,,,,,,,,,
T13-2,SFP,As-Built,0.00,0.52,0.24,0.54,0.00,3.98,,,,,,,,,,,,,,,,,
T13-3,SFP,As-Built,0.00,0.16,0.12,0.55,0.00,4.15,,,,,,,,,,,,,,,,,
