MP Name,StdPolygon,BACM_Type,AirSci Acres,AirSci Acres Sum,Phase,BACM_Typ_1,Cent_N,Cent_E,MP Acres
 T4-4 ,T4-4,99% Efficiency Wetting Basins (2003),161.54,161.54,1,Shallow Flooding,4021558.613,413392.5927,161.5
 T4-5 ,T4-5,99% Efficiency Wetting Basins (2003),67.2475,67.2475,1,Shallow Flooding,4022202.06,413309.4906,67.2
 T5-1 ,T5-1,99% Efficiency Wetting Basins (2003),83.545,83.545,5,Shallow Flooding,4020772.047,414357.3123,86.4
 T5-1 Addition ,T5-1 Addition,99% Efficiency Wetting Basins (2003),20.0505,20.0505,7,Shallow Flooding,4020405.199,414191.8737,19.9
 T5-2 ,T5-2,99% Efficiency Wetting Basins (2003),19.8256,19.8256,5,Shallow Flooding,4023012.957,415856.2057,19.8
 T5-3 ,T5-3,99% Efficiency Wetting Basins (2003),138.755,138.755,1,Shallow Flooding,4022351.955,414964.6858,139.2
 T5-3 Addition ,T5-3 Addition,99% Efficiency Wetting Basins (2003),80.697,80.697,7,Shallow Flooding,4022447.174,415408.0558,80.6
 T5-3B ,T5-3B,Managed Vegetation,39.9811,39.9811,1,Managed Vegetation,4021250.26,414179.756,40
 T5-3C ,T5-3C,Managed Vegetation,19.7181,19.7181,1,Managed Vegetation,4021429.447,413938.6997,19.7
 T5-4 ,T5-4,Tillage With BACM Backup,43.4153,43.4153,5,Shallow Flooding,4022051.817,413760.1967,43.4
 T5-4B ,T5-4B,Managed Vegetation,39.993,39.993,1,Managed Vegetation,4021573.772,414418.7828,40
 T5-4C ,T5-4C,Managed Vegetation,39.9807,39.9807,1,Managed Vegetation,4021812.808,414095.2807,40
 T5-4D ,T5-4D,Managed Vegetation,39.982,39.982,1,Managed Vegetation,4022136.34,414334.342,40
 T5-5A ,T5-5A,Managed Vegetation,39.9807,39.9807,1,Managed Vegetation,4022375.362,414010.8138,40
 T5-5D ,T5-5D,Managed Vegetation,39.9839,39.9839,1,Managed Vegetation,4022614.416,413687.317,40
 T5-6A ,T5-6A,Managed Vegetation,39.9678,39.9678,1,Managed Vegetation,4022853.429,413363.822,40
 T5-6B ,T5-6B,Managed Vegetation,39.984,39.984,1,Managed Vegetation,4022529.872,413124.7809,40
 T5-6C ,T5-6C,Managed Vegetation,39.9917,39.9917,1,Managed Vegetation,4022768.904,412801.294,40
 T5-6D ,T5-6D,Managed Vegetation,39.9873,39.9873,1,Managed Vegetation,4023092.448,413040.2991,40
 T5-7A ,T5-7A,Managed Vegetation,39.9701,39.9701,1,Managed Vegetation,4023331.469,412716.7697,40
 T5-7B ,T5-7B,Managed Vegetation,39.9856,39.9856,1,Managed Vegetation,4023007.914,412477.7464,40
 T5-7D ,T5-7D,Managed Vegetation,39.9559,39.9559,1,Managed Vegetation,4023570.46,412393.4375,40
 T6-4C ,T6-4C,Managed Vegetation,39.9764,39.9764,1,Managed Vegetation,4022459.821,414573.329,40
 T6-4D ,T6-4D,Managed Vegetation,39.9892,39.9892,1,Managed Vegetation,4022783.306,414812.3578,40
 T6-5A ,T6-5A,Managed Vegetation,39.9831,39.9831,1,Managed Vegetation,4023022.354,414488.8408,40
 T6-5B ,T6-5B,Managed Vegetation,39.9668,39.9668,1,Managed Vegetation,4022698.86,414249.8257,40
 T6-5C ,T6-5C,Managed Vegetation,39.9841,39.9841,1,Managed Vegetation,4022937.908,413926.3064,40
 T6-5D ,T6-5D,Managed Vegetation,39.9871,39.9871,1,Managed Vegetation,4023261.411,414165.2708,40
 T6-6A ,T6-6A,Managed Vegetation,39.9709,39.9709,1,Managed Vegetation,4023500.445,413841.7492,40
 T6-6B ,T6-6B,Managed Vegetation,39.9652,39.9652,1,Managed Vegetation,4023176.93,413602.7853,40
 T6-6C ,T6-6C,Managed Vegetation,39.9842,39.9842,1,Managed Vegetation,4023415.952,413279.2639,40
 T6-6D ,T6-6D,Managed Vegetation,39.9904,39.9904,1,Managed Vegetation,4023739.474,413518.2293,40
